titles,authors,id,avg_rating,tot_rating,year_pub,img,description,genre,format,page,isbn,au_ge,key_words,bow
Twilight in Italy,Yakov Perelman,10150626,3.61,301,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348311188l/10150626.jpg,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide. (less),"Travel, Cultural, Italy, Classics, Nonfiction",hardcover,322.0,9781117935195.0,yakovperelman travel cultural italy classics nonfiction,elected digitization process though reading experience pre historical reproduction believe printed works worldwide less attempt books may made best efforts quality assurance imperfections introduced work book back occasional errors part print curated remove conducted impede preservation continuing commitment culturally important bring,yakovperelman travel cultural italy classics nonfiction elected digitization process though reading experience pre historical reproduction believe printed works worldwide less attempt books may made best efforts quality assurance imperfections introduced work book back occasional errors part print curated remove conducted impede preservation continuing commitment culturally important bring
Pallieter,D.H. Lawrence,2528687,3.33,313,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327567931l/2528687.jpg,"Der lebensfrohe und naturverbundene Pallieter, über dessen Alter und bisheriges Leben der Leser nichts Genaueres erfährt, lebt auf einem kleinen Hof im Tal des Flüsschens Nethe zusammen mit seiner frommen Schwester Charlot, die ihm den Haushalt führt, sowie dem Pferd Beiaard, dem Hund Lubas und einigen anderen Tieren. Zu Pfingsten lernt Pallieter bei einem fröhlichen ...more",Fiction,paperback,230.0,9783458331308.0,dhlawrence fiction,der lebensfrohe und naturverbundene pallieter über dessen alter bisheriges leben leser nichts genaueres erfährt lebt auf einem kleinen hof im tal des flüsschens nethe zusammen mit seiner frommen schwester charlot die ihm den haushalt führt sowie dem pferd beiaard hund lubas einigen anderen tieren zu pfingsten lernt bei fröhlichen,dhlawrence fiction der lebensfrohe und naturverbundene pallieter über dessen alter bisheriges leben leser nichts genaueres erfährt lebt auf einem kleinen hof im tal des flüsschens nethe zusammen mit seiner frommen schwester charlot die ihm den haushalt führt sowie dem pferd beiaard hund lubas einigen anderen tieren zu pfingsten lernt bei fröhlichen
Легкое Дыхание,Felix Timmermans,12655881,4.05,573,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466629428l/12655881.jpg,"«Летний вечер, ямщицкая тройка, бесконечный пустынный большак…» Бунинскую музыку прозаического письма не спутаешь ни с какой другой, в ней живут краски, звуки, запахи… Бунин не пиcал романов. Но чисто русский и получивший всемирное признание жанр рассказа или небольшой повести он довел до совершенства.В эту книгу вошли наиболее известные повести и рассказы писателя: « ...more","Cultural, Russia, Classics, Fiction, Short Stories, Literature, Russian Literature",,208.0,9785080001277.0,felixtimmermans cultural russia classics fiction shortstories literature russianliterature,« летний вечер ямщицкая тройка бесконечный пустынный большак …» бунинскую музыку прозаического письма не спутаешь ни с какой другой в ней живут краски звуки запахи … бунин пиcал романов но чисто русский и получивший всемирное признание жанр рассказа или небольшой повести он довел до совершенства эту книгу вошли наиболее известные рассказы писателя,felixtimmermans cultural russia classics fiction shortstories literature russianliterature « летний вечер ямщицкая тройка бесконечный пустынный большак …» бунинскую музыку прозаического письма не спутаешь ни с какой другой в ней живут краски звуки запахи … бунин пиcал романов но чисто русский и получивший всемирное признание жанр рассказа или небольшой повести он довел до совершенства эту книгу вошли наиболее известные рассказы писателя
You Come Too,Ivan Bunin,12144,4.15,497,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420165824l/12144.jpg,"For use in schools and libraries only. A collection of poems chosen by Frost to be read and enjoyed by children (and their elders), including ""Acquainted With The Night,"" ""A Patch Of Old Snow,"" ""Not Of School Age, ""and ""Mending Wall.","Poetry, Classics, Nonfiction",hardcover,94.0,9780370010670.0,ivanbunin poetry classics nonfiction,patch children libraries use read mending wall night poems chosen enjoyed school age elders including acquainted schools frost collection old snow,ivanbunin poetry classics nonfiction patch children libraries use read mending wall night poems chosen enjoyed school age elders including acquainted schools frost collection old snow
The Return of Dr. Fu-Manchu,Robert Frost,13129813,3.6,502,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333579745l/13129813.jpg,"London, 1913—the era of Sherlock Holmes, Dracula, and the Invisible Man. A time of shadows, secret societies, and dens filled with opium addicts. Into this world comes the most fantastic emissary of evil society has ever known... Dr. Fu-Manchu.  The insidious doctor returns to Great Britain with his league of assassins, the dreaded Si-Fan. He seeks to subvert the realm at the highest levels, but Fu-Manchu has his own secrets—which he will protect by any means. (less)","Mystery, Fiction, Pulp, Mystery, Crime, Classics, Novels, Thriller, Adventure, Thriller, Mystery Thriller, Historical",paperback,278.0,9780857686046.0,robertfrost mystery fiction pulp mystery crime classics novels thriller adventure thriller mysterythriller historical,sherlock holmes dracula london — secrets dens filled league world comes dreaded si fan invisible man highest levels evil society seeks realm fantastic emissary protect great britain shadows secret societies means less insidious doctor returns time ever known dr fu manchu opium addicts assassins subvert era,robertfrost mystery fiction pulp mystery crime classics novels thriller adventure thriller mysterythriller historical sherlock holmes dracula london — secrets dens filled league world comes dreaded si fan invisible man highest levels evil society seeks realm fantastic emissary protect great britain shadows secret societies means less insidious doctor returns time ever known dr fu manchu opium addicts assassins subvert era
Palli Samaj: The Homecoming,Sax Rohmer,332024,3.97,450,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370839426l/332024.jpg,"The novel deals with the efforts of Ramesh, a young Roorkee-trained engineer, to bring some change in the caste-ridden village and to elevate the villagers to a better level of existence. It deals in depth with the corruption that infects the village, and Ramesh's efforts to remove it.","Fiction, Classics, Romance",paperback,188.0,9788171675609.0,saxrohmer fiction classics romance,corruption young roorkee trained engineer rameshs efforts elevate better level remove village ramesh novel deals change depth infects existence villagers caste ridden bring,saxrohmer fiction classics romance corruption young roorkee trained engineer rameshs efforts elevate better level remove village ramesh novel deals change depth infects existence villagers caste ridden bring
Light and Darkness,Sarat Chandra Chattopadhyay,62775,3.77,231,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469301246l/62775.jpg,"Published in 1917, ""Light and Dark"" is unlike any of Natsume Soseki's previous works and unique in Japanese fiction of the period. What distinguishes the novel as ""modern"" is its remarkable representation of interiority. The protagonists, Tsuda Yoshio, thirty, and his wife O-Nobu, twenty-three, exhibit a gratifying complexity that qualifies them as some of the earliest ...more","Cultural, Japan, Asian Literature, Japanese Literature, Fiction, Classics",paperback,397.0,9780399506109.0,saratchandrachattopadhyay cultural japan asianliterature japaneseliterature fiction classics,interiority wife light gratifying complexity unlike earliest remarkable representation dark published nobu twenty three exhibit unique natsume sosekis previous works protagonists tsuda yoshio thirty qualifies distinguishes modern novel japanese fiction period,saratchandrachattopadhyay cultural japan asianliterature japaneseliterature fiction classics interiority wife light gratifying complexity unlike earliest remarkable representation dark published nobu twenty three exhibit unique natsume sosekis previous works protagonists tsuda yoshio thirty qualifies distinguishes modern novel japanese fiction period
Clairvoyance and Occult Powers,Natsume Sōseki,18884827,3.43,239,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385123918l/18884827.jpg,"There is in every human being a sense which is not generally recognized as such, although nearly every person has had more or less experience regarding its workings. I refer to the sense of the presence of other living things, separate and apart from the operation of any of the five ordinary physical senses. I ask you to understand that I am not claiming that this is a higher sense than the other physical senses, or that it has come to man in a high state of evolution... (less)","Spirituality, Nonfiction, Reference, Witchcraft",,373.0,9781775414100.0,natsumesōseki spirituality nonfiction reference witchcraft,ask understand living things separate evolution less come higher sense presence workings refer five ordinary physical senses apart although nearly every person high state claiming man generally recognized operation experience regarding human,natsumesōseki spirituality nonfiction reference witchcraft ask understand living things separate evolution less come higher sense presence workings refer five ordinary physical senses apart although nearly every person high state claiming man generally recognized operation experience regarding human
The Adventures of Buster Bear,William Walker Atkinson,716361,4.11,436,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328868375l/716361.jpg,"When Buster Bear comes to live in the Green Forest, the amiable bully stirs up quite a commotion, for bears haven't lived in the forest for years. And sure enough, before long Buster has a series of run-ins with Little Joe Otter, Chatterer the Red Squirrel, Farmer Brown's Boy, and even a stubborn metal pail! These and other entertaining escapades are delightfully recounted in this engaging tale. Set in a timeless world of bubbling brooks, blue skies, and green groves, the story also teaches valuable lessons on the dangers of greed, pride, and insensitivity. The text, printed in large, easy-to-read type, is enhanced by six charming illustrations, based on the originals by Harrison Cady. (less)","Childrens, Animals, Classics, Fiction, Fantasy, Animals, Animal Fiction, Childrens, Academic, School, Adventure, Young Adult",paperback,96.0,9780486275642.0,williamwalkeratkinson childrens animals classics fiction fantasy animals animalfiction childrens academic school adventure youngadult,even buster bear comes red squirrel farmer browns boy little joe otter chatterer commotion entertaining escapades engaging tale set bubbling brooks blue skies bears havent lived forest green years groves harrison cady less live run ins greed pride series large easy quite text printed timeless world read type sure enough insensitivity enhanced delightfully recounted story also teaches valuable lessons originals dangers six charming illustrations based long stubborn metal pail amiable bully stirs,williamwalkeratkinson childrens animals classics fiction fantasy animals animalfiction childrens academic school adventure youngadult even buster bear comes red squirrel farmer browns boy little joe otter chatterer commotion entertaining escapades engaging tale set bubbling brooks blue skies bears havent lived forest green years groves harrison cady less live run ins greed pride series large easy quite text printed timeless world read type sure enough insensitivity enhanced delightfully recounted story also teaches valuable lessons originals dangers six charming illustrations based long stubborn metal pail amiable bully stirs
With Her in Ourland,Thornton W. Burgess,304432,3.37,196,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348465846l/304432.jpg,"Two works in one, this volume contains the full text of With Her in Ourland by Charlotte Perkins Gilman, as well as an illuminating sociological analysis by Mary Jo Deegan with the assistance of Michael R. Hill. Ourland is the sequel to Gilman's acclaimed feminist utopian novel Herland; both were published in her journal, The Forerunner, in 1915 and 1916. Ourland resumes the adventures of Herland's protagonists, Ellador and Van, but turns from utopian fantasy to a challenging analysis of contemporary social fissures in ""his land,"" or the real world. The republication of Herland as a separate novel in 1979 revived critical interest in Gilman's work but truncated the larger aims implicit in the Herland/Ourland saga, leaving an erroneous understanding of Gilman's other/better half of the story, in which it is suggested that strong women can resocialize men to be nurturant and cooperative. Gilman's choice of a sexually integrated society in With Her in Ourland provides us with her answer to her ideal society, but her foray into a woman-only society as a corrective to a male dominated one is a controversial option. The challenging message of Ourland, however, does not impede the pleasure of reading it as a novel.  Though known more for her fiction today, Gilman in her time was a recognized and accomplished sociologist who admired Lester F. Ward and frequently visited Jane Addams of Chicago's Hull-House. The male protagonist in Herland/Ourland, Van, is a sociologist, used by Gilman as a foil on which to skewer the assumptions and practices of patriarchal sociology. The interpretation presented here, which adopts a sociological viewpoint, is invaluable reading for scholars and students of sociology, American women's studies, and utopian literature. (less)","Fiction, Feminism, Science Fiction, Fantasy, Gender, Classics, Gender, Gender Studies, Science Fiction Fantasy, Literature, Adult",hardcover,216.0,9780313276149.0,thorntonwburgess fiction feminism sciencefiction fantasy gender classics gender genderstudies sciencefictionfantasy literature adult,herland sequel sociologist used reading ourland saga leaving sociological viewpoint woman land larger aims implicit gilmans work truncated acclaimed feminist utopian novel separate van recognized fantasy impede pleasure story answer frequently visited jane addams chicagos hull house foil volume contains foray journal illuminating analysis nurturant sociology american womens studies society corrective accomplished real world skewer invaluable gilman provides us fiction today ideal practices forerunner challenging erroneous understanding mary jo deegan male protagonist published one republication suggested dominated revived critical interest well full text strong women literature less sexually integrated herlands protagonists ellador resumes michael r hill though known however cooperative choice students two works scholars adventures assistance charlotte perkins turns controversial option message admired lester f ward resocialize men time interpretation presented assumptions contemporary social fissures better half patriarchal adopts,thorntonwburgess fiction feminism sciencefiction fantasy gender classics gender genderstudies sciencefictionfantasy literature adult herland sequel sociologist used reading ourland saga leaving sociological viewpoint woman land larger aims implicit gilmans work truncated acclaimed feminist utopian novel separate van recognized fantasy impede pleasure story answer frequently visited jane addams chicagos hull house foil volume contains foray journal illuminating analysis nurturant sociology american womens studies society corrective accomplished real world skewer invaluable gilman provides us fiction today ideal practices forerunner challenging erroneous understanding mary jo deegan male protagonist published one republication suggested dominated revived critical interest well full text strong women literature less sexually integrated herlands protagonists ellador resumes michael r hill though known however cooperative choice students two works scholars adventures assistance charlotte perkins turns controversial option message admired lester f ward resocialize men time interpretation presented assumptions contemporary social fissures better half patriarchal adopts
"The Power House (Sir Edward Leithen, #1)",Charlotte Perkins Gilman,4772688,3.43,362,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1315021113l/4772688.jpg,"When his friend Charles Pitt-Heron vanishes mysteriously, Sir Edward Leithen is at first only mildly concerned. But a series of strange events that follow Pitt-Heron’s disappearance convinces Leithen that he is dealing with a sinister secret society. Their codename is ‘The Power-House’. The authorities are unable to act without evidence. As he gets deeper involved with the ...more","Mystery, Fiction, Classics, Adventure, Thriller, Novels, Thriller, Mystery Thriller, Suspense, Cultural, Scotland, European Literature, British Literature",paperback,112.0,9781842327845.0,charlotteperkinsgilman mystery fiction classics adventure thriller novels thriller mysterythriller suspense cultural scotland europeanliterature britishliterature,unable series friend charles pitt heron vanishes mysteriously sir edward leithen ‘ disappearance convinces dealing strange events first mildly concerned sinister secret society authorities gets deeper involved power house ’ follow codename act without evidence,charlotteperkinsgilman mystery fiction classics adventure thriller novels thriller mysterythriller suspense cultural scotland europeanliterature britishliterature unable series friend charles pitt heron vanishes mysteriously sir edward leithen ‘ disappearance convinces dealing strange events first mildly concerned sinister secret society authorities gets deeper involved power house ’ follow codename act without evidence
Penrod and Sam,John Buchan,274716,4.07,432,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348420171l/274716.jpg,"1916. Tarkington was one of the most popular American novelist and dramatist of his time. The Penrod series of novels deal with the daily life and trials of a boy of eleven and twelve in turn of the century Indiana. The humor is found in the petty hypocrisies of the adults and the naoveti of the children and how those two things intertwine. Penrod is not alone in his travels in this volume he is accompanied by his loyal yet aging dog Duke, his best friend Sam Williams, and two African Americans across the alley, Herman and Verman. Contents: Penrod and Sam; The Bonded Prisoner; The Militarist; Bingism; The In-Or-In; Georgie Becomes a Member; Whitey; Salvage; Reward of Merit; Conscience; The Tonic; Gipsy; Concerning Trousers; Camera Work in the Jungle; A Model Letter to a Friend; Wednesday Madness; Penrod's Busy Day; On Account of the Weather; Creative Art; The Departing Guest; Yearnings; The Horn of Fame; The Party; and The Heart of Marjorie Jones. See other titles by this author available from Kessinger Publishing. (less)","Fiction, Classics, Childrens, Humor, Academic, School, Classics, Classic Literature, Young Adult",paperback,148.0,9781847025883.0,johnbuchan fiction classics childrens humor academic school classics classicliterature youngadult,turn humor tonic gipsy concerning trousers camera work model letter volume eleven best friend sam williams heart georgie becomes marjorie jones see century indiana militarist bingism one account travels novels deal two african americans across tarkington merit conscience verman contents penrod found twelve departing guest yearnings daily life kessinger publishing less loyal yet aging dog duke dramatist children things intertwine series petty hypocrisies weather creative art trials wednesday madness penrods busy day horn alley herman fame time boy adults accompanied jungle naoveti member whitey salvage reward alone bonded prisoner author available party popular american novelist titles,johnbuchan fiction classics childrens humor academic school classics classicliterature youngadult turn humor tonic gipsy concerning trousers camera work model letter volume eleven best friend sam williams heart georgie becomes marjorie jones see century indiana militarist bingism one account travels novels deal two african americans across tarkington merit conscience verman contents penrod found twelve departing guest yearnings daily life kessinger publishing less loyal yet aging dog duke dramatist children things intertwine series petty hypocrisies weather creative art trials wednesday madness penrods busy day horn alley herman fame time boy adults accompanied jungle naoveti member whitey salvage reward alone bonded prisoner author available party popular american novelist titles
The Adventures of Old Mr. Toad,Booth Tarkington,752907,4.05,397,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328866942l/752907.jpg,"Old Mr. Toad was acting strangely, and his behavior puzzled all the creatures of the Green Meadow. You see, he was in a hurry, and Old Mr. Toad NEVER hurried unless he was in danger. Where on earth could he be off to? To find out, Jimmy Skunk, Peter Cottontail, Unc' Billy Possum, and some other animals of the Green Forest secretly follow the old gentleman through the ...more","Classics, Childrens, Animals, Fiction, Fantasy",paperback,80.0,9780486403854.0,boothtarkington classics childrens animals fiction fantasy,green meadow old mr toad never hurried unless jimmy skunk peter cottontail unc billy possum earth could behavior puzzled acting strangely hurry danger find animals gentleman forest secretly follow see creatures,boothtarkington classics childrens animals fiction fantasy green meadow old mr toad never hurried unless jimmy skunk peter cottontail unc billy possum earth could behavior puzzled acting strangely hurry danger find animals gentleman forest secretly follow see creatures
The Ivory Child,Thornton W. Burgess,696070,3.84,318,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348754355l/696070.jpg,"While Quartermain visits Lord Randall, two foreigners come asking for Macumazana -- that is, asking for Allan Quartermain by the name he used among the Africans. The two visitors are Harut and Marut, priests and doctors of the White Kendah People and they have come to ask Allan Quartermain for his help. The White Kendah people are at war with the Black Kendah people who      ...more","Adventure, Fiction, Classics, Fantasy, Cultural, Africa",paperback,312.0,9781600967856.0,thorntonwburgess adventure fiction classics fantasy cultural africa,two visitors help harut macumazana asking africans quartermain visits lord randall foreigners come ask allan name used among marut priests war doctors white kendah people black,thorntonwburgess adventure fiction classics fantasy cultural africa two visitors help harut macumazana asking africans quartermain visits lord randall foreigners come ask allan name used among marut priests war doctors white kendah people black
Thinking as a Science,H. Rider Haggard,464215,4.08,200,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348383767l/464215.jpg,"This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work. (less)","Philosophy, Economics, Nonfiction, Psychology, Science, Audiobook, Philosophy, Logic",paperback,256.0,9781417925674.0,hriderhaggard philosophy economics nonfiction psychology science audiobook philosophy logic,marks notations marginalia believe worlds literature commitment flawed pages age work true may contain imperfections original due part less facsimile reprint scarce antiquarian book protecting preserving made available affordable high quality modern editions promoting culturally important,hriderhaggard philosophy economics nonfiction psychology science audiobook philosophy logic marks notations marginalia believe worlds literature commitment flawed pages age work true may contain imperfections original due part less facsimile reprint scarce antiquarian book protecting preserving made available affordable high quality modern editions promoting culturally important
The Collected Poems,Henry Hazlitt,1120231,4.01,321,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347477809l/1120231.jpg,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally ...more,"Poetry, Classics, Literature, Nonfiction, War, Biography",paperback,192.0,9781426411113.0,henryhazlitt poetry classics literature nonfiction war biography,remove books imperfections introduced work culturally digitization process though conducted occasional errors reading experience pre historical reproduction believe attempt may made best efforts quality assurance impede curated,henryhazlitt poetry classics literature nonfiction war biography remove books imperfections introduced work culturally digitization process though conducted occasional errors reading experience pre historical reproduction believe attempt may made best efforts quality assurance impede curated
The King of Ireland's Son,Rupert Brooke,1052599,4.17,260,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328866554l/1052599.jpg,"Compiled by noted Irish author Padraic Colum, this treasury of time-honored tales from the fairy-haunted folklore of the Emerald Isle includes these favorite stories: ""Fedelma, the Enchanter's Daughter,"" ""When the King of the Cats Came to King Connal's Dominion,"" ""The Sword of Light and the Unique Tale,"" ""The Town of the Red Castle,"" ""The King of the Land of Mist,"" ""The House of Crom Duv,"" and ""The Spae-Woman."" Brimming with sly humor, whimsy and imagination, these delightful tales offer hours of enjoyable reading. Nine full-page illustrations and numerous other decorations by Willy Pogány further enhance the text with a mood of timeless enchantment. (less)","Cultural, Ireland, Fantasy, Fiction, Childrens, Classics, Fantasy, Mythology",paperback,320.0,9780486297224.0,rupertbrooke cultural ireland fantasy fiction childrens classics fantasy mythology,sly humor whimsy king connals dominion time honored tales unique tale favorite stories fedelma light text emerald isle includes mist spae woman brimming numerous red castle enhance land noted irish author padraic colum sword enchanters daughter enjoyable reading nine full page illustrations cats came delightful offer hours decorations mood timeless enchantment less willy pogány crom duv fairy haunted folklore town imagination compiled treasury house,rupertbrooke cultural ireland fantasy fiction childrens classics fantasy mythology sly humor whimsy king connals dominion time honored tales unique tale favorite stories fedelma light text emerald isle includes mist spae woman brimming numerous red castle enhance land noted irish author padraic colum sword enchanters daughter enjoyable reading nine full page illustrations cats came delightful offer hours decorations mood timeless enchantment less willy pogány crom duv fairy haunted folklore town imagination compiled treasury house
Old Peter's Russian Tales,Padraic Colum,989812,4.0,250,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180034345l/989812._SY475_.jpg,"This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into ...more","Short Stories, Childrens, Fantasy, Fairy Tales, Cultural, Russia, Fiction, Literature, Russian Literature, Fantasy, Classics",paperback,,9781903252161.0,padraiccolum shortstories childrens fantasy fairytales cultural russia fiction literature russianliterature fantasy classics,missing elected original artifact work occasional imperfections book may reproduction either part despite believe back introduced published culturally important scanning process blurred pages poor pictures errant marks etc bring,padraiccolum shortstories childrens fantasy fairytales cultural russia fiction literature russianliterature fantasy classics missing elected original artifact work occasional imperfections book may reproduction either part despite believe back introduced published culturally important scanning process blurred pages poor pictures errant marks etc bring
Mr. Britling Sees it Through,Arthur Ransome,787234,3.67,160,1916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348269072l/787234.jpg,"H.G. Wells' attempt to make sense of World War I. It begins with a lighthearted account of an American visiting England for the first time, but the outbreak of war changes everything. Day by day and month by month, Wells chronicles the unfolding events and public reaction as witnessed by the inhabitants of one house in rural Essex. Each of the characters tries in a different way to keep their bearings in a world suddenly changed beyond recognition. This book was published in 1916 while the war was still in progress, so no clear resolution was possible. Wells did not know how long the war would last or which side would ultimately win, but he hoped that somehow, something good might eventually come of it. (less)","Fiction, Classics, War, Literature",paperback,384.0,9781426474927.0,arthurransome fiction classics war literature,unfolding events less day first time war somehow something good might eventually come long changes everything published rural essex outbreak public reaction h g wells attempt characters tries begins still side would ultimately win book month chronicles last one house make sense progress keep world possible know inhabitants hoped clear resolution bearings american visiting england different way witnessed lighthearted account suddenly changed beyond recognition,arthurransome fiction classics war literature unfolding events less day first time war somehow something good might eventually come long changes everything published rural essex outbreak public reaction h g wells attempt characters tries begins still side would ultimately win book month chronicles last one house make sense progress keep world possible know inhabitants hoped clear resolution bearings american visiting england different way witnessed lighthearted account suddenly changed beyond recognition
